MEDIDAS	TIME_PERIOD	TERRITORIO	SEXO	OBS_VALUE	CONFIDENCIALIDAD_OBSERVACION	NOTAS_OBSERVACION	ESTADO_OBSERVACION	ESTADO_OBSERVACION_CODE
Población. Proporción	2015	Canarias	Mujeres	100				
Población	2014	Canarias	Mujeres	1058442				
Población. Variación anual	2014	Canarias	Mujeres	-4935				
Población. Tasa de variación anual	2014	Canarias	Mujeres	-0.46				
Población. Proporción	2014	Canarias	Mujeres	100				
Población	2013	Canarias	Mujeres	1063377				
Población. Variación anual	2013	Canarias	Mujeres	1273				
Población. Tasa de variación anual	2013	Canarias	Mujeres	0.12				
Población. Proporción	2013	Canarias	Mujeres	100				
Población	2012	Canarias	Mujeres	1062104				
Población. Variación anual	2012	Canarias	Mujeres	-3074				
Población. Tasa de variación anual	2012	Canarias	Mujeres	-0.29				
Población. Proporción	2012	Canarias	Mujeres	100				
Población	2011	Canarias	Mujeres	1065178				
Población. Variación anual	2011	Canarias	Mujeres	5365				
Población. Tasa de variación anual	2011	Canarias	Mujeres	0.51				
Población. Proporción	2011	Canarias	Mujeres	100				
Población	2010	Canarias	Mujeres	1059813				
Población. Variación anual	2010	Canarias	Mujeres	8457				
Población. Tasa de variación anual	2010	Canarias	Mujeres	0.8				
Población. Proporción	2010	Canarias	Mujeres	100				
Población	2009	Canarias	Mujeres	1051356				
Población. Variación anual	2009	Canarias	Mujeres	15525				
Población. Tasa de variación anual	2009	Canarias	Mujeres	1.5				
Población. Proporción	2009	Canarias	Mujeres	100				
Población	2008	Canarias	Mujeres	1035831				
Población. Variación anual	2008	Canarias	Mujeres	25373				
Población. Tasa de variación anual	2008	Canarias	Mujeres	2.51				
Población. Proporción	2008	Canarias	Mujeres	100				
Población	2007	Canarias	Mujeres	1010458				
Población. Variación anual	2007	Canarias	Mujeres	16019				
Población. Tasa de variación anual	2007	Canarias	Mujeres	1.61				
Población. Proporción	2007	Canarias	Mujeres	100				
Población	2006	Canarias	Mujeres	994439				
Población. Variación anual	2006	Canarias	Mujeres	14389				
Población. Tasa de variación anual	2006	Canarias	Mujeres	1.47				
Población. Proporción	2006	Canarias	Mujeres	100				
Población	2005	Canarias	Mujeres	980050				
Población. Variación anual	2005	Canarias	Mujeres	25168				
Población. Tasa de variación anual	2005	Canarias	Mujeres	2.64				
Población. Proporción	2005	Canarias	Mujeres	100				
Población	2004	Canarias	Mujeres	954882				
Población. Variación anual	2004	Canarias	Mujeres	10173				
Población. Tasa de variación anual	2004	Canarias	Mujeres	1.08				
Población. Proporción	2004	Canarias	Mujeres	100				
Población	2003	Canarias	Mujeres	944709				
Población. Variación anual	2003	Canarias	Mujeres	24307				
Población. Tasa de variación anual	2003	Canarias	Mujeres	2.64				
Población. Proporción	2003	Canarias	Mujeres	100				
Población	2002	Canarias	Mujeres	920402				
Población. Variación anual	2002	Canarias	Mujeres	29585				
Población. Tasa de variación anual	2002	Canarias	Mujeres	3.32				
Población. Proporción	2002	Canarias	Mujeres	100				
Población	2001	Canarias	Mujeres	890817				
Población. Variación anual	2001	Canarias	Mujeres	29440				
Población. Tasa de variación anual	2001	Canarias	Mujeres	3.42				
Población. Proporción	2001	Canarias	Mujeres	100				
Población	2000	Canarias	Mujeres	861377				
Población. Variación anual	2000	Canarias	Mujeres	20395				
Población. Tasa de variación anual	2000	Canarias	Mujeres	2.43				
Población. Proporción	2000	Canarias	Mujeres	100				
Población	1999	Canarias	Mujeres	840982				
Población. Variación anual	1999	Canarias	Mujeres	19059				
Población. Tasa de variación anual	1999	Canarias	Mujeres	2.32				
Población. Proporción	1999	Canarias	Mujeres	100				
Población	1998	Canarias	Mujeres	821923				
Población. Variación anual	1998	Canarias	Mujeres				Valor no disponible; el dato no existe	M
Población. Tasa de variación anual	1998	Canarias	Mujeres				Valor no disponible; el dato no existe	M
Población. Proporción	1998	Canarias	Mujeres	100				
Población	1996	Canarias	Mujeres	809304				
Población. Variación anual	1996	Canarias	Mujeres				Valor no disponible; el dato no existe	M
Población. Tasa de variación anual	1996	Canarias	Mujeres				Valor no disponible; el dato no existe	M
Población. Proporción	1996	Canarias	Mujeres	100				
Población	2021	Lanzarote	Total	156189				
Población. Variación anual	2021	Lanzarote	Total	377				
Población. Tasa de variación anual	2021	Lanzarote	Total	0.24				
Población. Proporción	2021	Lanzarote	Total	7.19				
Población	2020	Lanzarote	Total	155812				
Población. Variación anual	2020	Lanzarote	Total	3523				
Población. Tasa de variación anual	2020	Lanzarote	Total	2.31				
Población. Proporción	2020	Lanzarote	Total	7.16				
Población	2019	Lanzarote	Total	152289				
Población. Variación anual	2019	Lanzarote	Total	3106				
Población. Tasa de variación anual	2019	Lanzarote	Total	2.08				
Población. Proporción	2019	Lanzarote	Total	7.07				
Población	2018	Lanzarote	Total	149183				
Población. Variación anual	2018	Lanzarote	Total	2160				
Población. Tasa de variación anual	2018	Lanzarote	Total	1.47				
Población. Proporción	2018	Lanzarote	Total	7.01				
Población	2017	Lanzarote	Total	147023				
Población. Variación anual	2017	Lanzarote	Total	1939				
Población. Tasa de variación anual	2017	Lanzarote	Total	1.34				
Población. Proporción	2017	Lanzarote	Total	6.97				
Población	2016	Lanzarote	Total	145084				
Población. Variación anual	2016	Lanzarote	Total	1875				
Población. Tasa de variación anual	2016	Lanzarote	Total	1.31				
Población. Proporción	2016	Lanzarote	Total	6.9				
Población	2015	Lanzarote	Total	143209				
Población. Variación anual	2015	Lanzarote	Total	1269				
Población. Tasa de variación anual	2015	Lanzarote	Total	0.89				
Población. Proporción	2015	Lanzarote	Total	6.82				
Población	2014	Lanzarote	Total	141940				
Población. Variación anual	2014	Lanzarote	Total	-13				
Población. Tasa de variación anual	2014	Lanzarote	Total	-0.01				
Población. Proporción	2014	Lanzarote	Total	6.74				
Población	2013	Lanzarote	Total	141953				
Población. Variación anual	2013	Lanzarote	Total	-179				
Población. Tasa de variación anual	2013	Lanzarote	Total	-0.13				
Población. Proporción	2013	Lanzarote	Total	6.7				
Población	2012	Lanzarote	Total	142132				
Población. Variación anual	2012	Lanzarote	Total	-385				
Población. Tasa de variación anual	2012	Lanzarote	Total	-0.27				
Población. Proporción	2012	Lanzarote	Total	6.71				
Población	2011	Lanzarote	Total	142517				
Población. Variación anual	2011	Lanzarote	Total	1080				
Población. Tasa de variación anual	2011	Lanzarote	Total	0.76				
Población. Proporción	2011	Lanzarote	Total	6.7				
Población	2010	Lanzarote	Total	141437				
Población. Variación anual	2010	Lanzarote	Total	-501				
Población. Tasa de variación anual	2010	Lanzarote	Total	-0.35				
Población. Proporción	2010	Lanzarote	Total	6.68				
Población	2009	Lanzarote	Total	141938				
Población. Variación anual	2009	Lanzarote	Total	2432				
Población. Tasa de variación anual	2009	Lanzarote	Total	1.74				
Población. Proporción	2009	Lanzarote	Total	6.75				
Población	2008	Lanzarote	Total	139506				
Población. Variación anual	2008	Lanzarote	Total	7140				
Población. Tasa de variación anual	2008	Lanzarote	Total	5.39				
Población. Proporción	2008	Lanzarote	Total	6.72				
Población	2007	Lanzarote	Total	132366				
Población. Variación anual	2007	Lanzarote	Total	4909				
Población. Tasa de variación anual	2007	Lanzarote	Total	3.85				
Población. Proporción	2007	Lanzarote	Total	6.53				
Población	2006	Lanzarote	Total	127457				
Población. Variación anual	2006	Lanzarote	Total	4418				
Población. Tasa de variación anual	2006	Lanzarote	Total	3.59				
Población. Proporción	2006	Lanzarote	Total	6.39				
Población	2005	Lanzarote	Total	123039				
Población. Variación anual	2005	Lanzarote	Total	6257				
Población. Tasa de variación anual	2005	Lanzarote	Total	5.36				
Población. Proporción	2005	Lanzarote	Total	6.25				
Población	2004	Lanzarote	Total	116782				
Población. Variación anual	2004	Lanzarote	Total	2067				
Población. Tasa de variación anual	2004	Lanzarote	Total	1.8				
Población. Proporción	2004	Lanzarote	Total	6.1				
Población	2003	Lanzarote	Total	114715				
Población. Variación anual	2003	Lanzarote	Total	4773				
Población. Tasa de variación anual	2003	Lanzarote	Total	4.34				
Población. Proporción	2003	Lanzarote	Total	6.05				
Población	2002	Lanzarote	Total	109942				
Población. Variación anual	2002	Lanzarote	Total	6898				
Población. Tasa de variación anual	2002	Lanzarote	Total	6.69				
Población. Proporción	2002	Lanzarote	Total	5.96				
Población	2001	Lanzarote	Total	103044				
Población. Variación anual	2001	Lanzarote	Total	6734				
Población. Tasa de variación anual	2001	Lanzarote	Total	6.99				
Población. Proporción	2001	Lanzarote	Total	5.78				
Población	2000	Lanzarote	Total	96310				
Población. Variación anual	2000	Lanzarote	Total	5935				
Población. Tasa de variación anual	2000	Lanzarote	Total	6.57				
Población. Proporción	2000	Lanzarote	Total	5.61				
Población	1999	Lanzarote	Total	90375				
Población. Variación anual	1999	Lanzarote	Total	5526				
Población. Tasa de variación anual	1999	Lanzarote	Total	6.51				
Población. Proporción	1999	Lanzarote	Total	5.4				
Población	1998	Lanzarote	Total	84849				
Población. Variación anual	1998	Lanzarote	Total				Valor no disponible; el dato no existe	M
Población. Tasa de variación anual	1998	Lanzarote	Total				Valor no disponible; el dato no existe	M
Población. Proporción	1998	Lanzarote	Total	5.21				
Población	1996	Lanzarote	Total	77379				
Población. Variación anual	1996	Lanzarote	Total				Valor no disponible; el dato no existe	M
Población. Tasa de variación anual	1996	Lanzarote	Total				Valor no disponible; el dato no existe	M
Población. Proporción	1996	Lanzarote	Total	4.82				
Población	2021	Lanzarote	Hombres	79019				
Población. Variación anual	2021	Lanzarote	Hombres	153				
Población. Tasa de variación anual	2021	Lanzarote	Hombres	0.19				
Población. Proporción	2021	Lanzarote	Hombres	7.36				
Población	2020	Lanzarote	Hombres	78866				
Población. Variación anual	2020	Lanzarote	Hombres	1838				
Población. Tasa de variación anual	2020	Lanzarote	Hombres	2.39				
Población. Proporción	2020	Lanzarote	Hombres	7.33				
Población	2019	Lanzarote	Hombres	77028				
Población. Variación anual	2019	Lanzarote	Hombres	1541				
Población. Tasa de variación anual	2019	Lanzarote	Hombres	2.04				
Población. Proporción	2019	Lanzarote	Hombres	7.23				
Población	2018	Lanzarote	Hombres	75487				
Población. Variación anual	2018	Lanzarote	Hombres	1000				
Población. Tasa de variación anual	2018	Lanzarote	Hombres	1.34				
Población. Proporción	2018	Lanzarote	Hombres	7.16				
Población	2017	Lanzarote	Hombres	74487				
Población. Variación anual	2017	Lanzarote	Hombres	881				
Población. Tasa de variación anual	2017	Lanzarote	Hombres	1.2				
Población. Proporción	2017	Lanzarote	Hombres	7.13				
Población	2016	Lanzarote	Hombres	73606				
Población. Variación anual	2016	Lanzarote	Hombres	907				
Población. Tasa de variación anual	2016	Lanzarote	Hombres	1.25				
Población. Proporción	2016	Lanzarote	Hombres	7.06				
Población	2015	Lanzarote	Hombres	72699				
Población. Variación anual	2015	Lanzarote	Hombres	606				
Población. Tasa de variación anual	2015	Lanzarote	Hombres	0.84				
Población. Proporción	2015	Lanzarote	Hombres	6.97				
Población	2014	Lanzarote	Hombres	72093				
Población. Variación anual	2014	Lanzarote	Hombres	-153				
Población. Tasa de variación anual	2014	Lanzarote	Hombres	-0.21				
Población. Proporción	2014	Lanzarote	Hombres	6.89				
Población	2013	Lanzarote	Hombres	72246				
Población. Variación anual	2013	Lanzarote	Hombres	-335				
Población. Tasa de variación anual	2013	Lanzarote	Hombres	-0.46				
Población. Proporción	2013	Lanzarote	Hombres	6.85				
Población	2012	Lanzarote	Hombres	72581				
Población. Variación anual	2012	Lanzarote	Hombres	-541				
Población. Tasa de variación anual	2012	Lanzarote	Hombres	-0.74				
Población. Proporción	2012	Lanzarote	Hombres	6.87				
Población	2011	Lanzarote	Hombres	73122				
Población. Variación anual	2011	Lanzarote	Hombres	302				
Población. Tasa de variación anual	2011	Lanzarote	Hombres	0.41				
Población. Proporción	2011	Lanzarote	Hombres	6.89				
Población	2010	Lanzarote	Hombres	72820				
Población. Variación anual	2010	Lanzarote	Hombres	-712				
Población. Tasa de variación anual	2010	Lanzarote	Hombres	-0.97				
Población. Proporción	2010	Lanzarote	Hombres	6.88				
Población	2009	Lanzarote	Hombres	73532				
Población. Variación anual	2009	Lanzarote	Hombres	962				
Población. Tasa de variación anual	2009	Lanzarote	Hombres	1.33				
Población. Proporción	2009	Lanzarote	Hombres	6.99				
Población	2008	Lanzarote	Hombres	72570				
Población. Variación anual	2008	Lanzarote	Hombres	3725				
Población. Tasa de variación anual	2008	Lanzarote	Hombres	5.41				
Población. Proporción	2008	Lanzarote	Hombres	6.98				
Población	2007	Lanzarote	Hombres	68845				
Población. Variación anual	2007	Lanzarote	Hombres	2512				
Población. Tasa de variación anual	2007	Lanzarote	Hombres	3.79				
Población. Proporción	2007	Lanzarote	Hombres	6.78				
Población	2006	Lanzarote	Hombres	66333				
Población. Variación anual	2006	Lanzarote	Hombres	2405				
Población. Tasa de variación anual	2006	Lanzarote	Hombres	3.76				
Población. Proporción	2006	Lanzarote	Hombres	6.62				
Población	2005	Lanzarote	Hombres	63928				
Población. Variación anual	2005	Lanzarote	Hombres	3425				
Población. Tasa de variación anual	2005	Lanzarote	Hombres	5.66				
Población. Proporción	2005	Lanzarote	Hombres	6.47				
Población	2004	Lanzarote	Hombres	60503				
Población. Variación anual	2004	Lanzarote	Hombres	1038				
Población. Tasa de variación anual	2004	Lanzarote	Hombres	1.75				
Población. Proporción	2004	Lanzarote	Hombres	6.3				
Población	2003	Lanzarote	Hombres	59465				
Población. Variación anual	2003	Lanzarote	Hombres	2524				
Población. Tasa de variación anual	2003	Lanzarote	Hombres	4.43				
Población. Proporción	2003	Lanzarote	Hombres	6.26				
Población	2002	Lanzarote	Hombres	56941				
Población. Variación anual	2002	Lanzarote	Hombres	3556				
Población. Tasa de variación anual	2002	Lanzarote	Hombres	6.66				
Población. Proporción	2002	Lanzarote	Hombres	6.17				
Población	2001	Lanzarote	Hombres	53385				
Población. Variación anual	2001	Lanzarote	Hombres	3712				
Población. Tasa de variación anual	2001	Lanzarote	Hombres	7.47				
Población. Proporción	2001	Lanzarote	Hombres	5.99				
Población	2000	Lanzarote	Hombres	49673				
Población. Variación anual	2000	Lanzarote	Hombres	3129				
Población. Tasa de variación anual	2000	Lanzarote	Hombres	6.72				
Población. Proporción	2000	Lanzarote	Hombres	5.81				
Población	1999	Lanzarote	Hombres	46544				
Población. Variación anual	1999	Lanzarote	Hombres	2982				
Población. Tasa de variación anual	1999	Lanzarote	Hombres	6.85				
Población. Proporción	1999	Lanzarote	Hombres	5.6				
Población	1998	Lanzarote	Hombres	43562				
Población. Variación anual	1998	Lanzarote	Hombres				Valor no disponible; el dato no existe	M
Población. Tasa de variación anual	1998	Lanzarote	Hombres				Valor no disponible; el dato no existe	M
Población. Proporción	1998	Lanzarote	Hombres	5.39				
Población	1996	Lanzarote	Hombres	39494				
Población. Variación anual	1996	Lanzarote	Hombres				Valor no disponible; el dato no existe	M
Población. Tasa de variación anual	1996	Lanzarote	Hombres				Valor no disponible; el dato no existe	M
Población. Proporción	1996	Lanzarote	Hombres	4.95				
Población	2021	Lanzarote	Mujeres	77170				
Población. Variación anual	2021	Lanzarote	Mujeres	224				
Población. Tasa de variación anual	2021	Lanzarote	Mujeres	0.29				
Población. Proporción	2021	Lanzarote	Mujeres	7.02				
Población	2020	Lanzarote	Mujeres	76946				
Población. Variación anual	2020	Lanzarote	Mujeres	1685				
Población. Tasa de variación anual	2020	Lanzarote	Mujeres	2.24				
Población. Proporción	2020	Lanzarote	Mujeres	7				
Población	2019	Lanzarote	Mujeres	75261				
Población. Variación anual	2019	Lanzarote	Mujeres	1565				
Población. Tasa de variación anual	2019	Lanzarote	Mujeres	2.12				
Población. Proporción	2019	Lanzarote	Mujeres	6.92				
Población	2018	Lanzarote	Mujeres	73696				
Población. Variación anual	2018	Lanzarote	Mujeres	1160				
Población. Tasa de variación anual	2018	Lanzarote	Mujeres	1.6				
Población. Proporción	2018	Lanzarote	Mujeres	6.86				
Población	2017	Lanzarote	Mujeres	72536				
Población. Variación anual	2017	Lanzarote	Mujeres	1058				
Población. Tasa de variación anual	2017	Lanzarote	Mujeres	1.48				
Población. Proporción	2017	Lanzarote	Mujeres	6.82				
Población	2016	Lanzarote	Mujeres	71478				
Población. Variación anual	2016	Lanzarote	Mujeres	968				
